time, ID, MOSI, MISO
4.914192560000000,1661,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.917900160000000,1662,0x07|0x00,0x2E|0x2E
4.917956760000000,1663,0x27|0x2E,0x2E|0x00
4.918031160000000,1664,0x25|0x36,0x0E|0x00
4.918083800000000,1665,0xE1|0x00,0x0E|0x0E
4.918140000000000,1666,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.921892480000000,1667,0x07|0x00,0x2E|0x2E
4.921949040000000,1668,0x27|0x2E,0x2E|0x00
4.922024840000000,1669,0x25|0x19,0x0E|0x00
4.922077480000000,1670,0xE1|0x00,0x0E|0x0E
4.922133680000000,1671,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.925952760000000,1672,0x07|0x00,0x2E|0x2E
4.926018760000000,1673,0x27|0x2E,0x2E|0x00
4.926083720000000,1674,0x25|0x19,0x0E|0x00
4.926136360000000,1675,0xE1|0x00,0x0E|0x0E
4.926192560000000,1676,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.930853760000000,1677,0x27|0x2E,0x2E|0x00
4.930920160000000,1678,0x25|0x21,0x0E|0x00
4.930972800000000,1679,0xE1|0x00,0x0E|0x0E
4.931038440000000,1680,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.933879320000000,1681,0x07|0x00,0x2E|0x2E
4.933935880000000,1682,0x27|0x2E,0x2E|0x00
4.934010280000000,1683,0x25|0x21,0x0E|0x00
4.934062920000000,1684,0xE1|0x00,0x0E|0x0E
4.934119160000000,1685,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.937932960000000,1686,0x07|0x00,0x2E|0x2E
4.937989520000000,1687,0x27|0x2E,0x2E|0x00
4.938065320000000,1688,0x25|0x29,0x0E|0x00
